city,state_name,county_name,lat,lng,population
Seattle,Washington,King,47.6217,-122.3238,3541236
Richmond,Virginia,Richmond (city),37.5294,-77.4755,1041877
Virginia Beach,Virginia,Virginia Beach (city),36.7335,-76.0435,1487505
Washington,District of Columbia,District of Columbia,38.9047,-77.0163,5191844
Milwaukee,Wisconsin,Milwaukee,43.064,-87.9669,1377104
Orlando,Florida,Orange,28.4801,-81.3448,1757288
Miami,Florida,Miami-Dade,25.784,-80.2102,6247425
Tampa,Florida,Hillsborough,27.9937,-82.4454,2744107
Jacksonville,Florida,Duval,30.3322,-81.6749,1141459
Albuquerque,New Mexico,Bernalillo,35.1055,-106.6476,759517
Fort Worth,Texas,Tarrant,32.7813,-97.3466,854113
McAllen,Texas,Hidalgo,26.2203,-98.2457,798187
El Paso,Texas,El Paso,31.8478,-106.431,845059
Dallas,Texas,Dallas,32.7938,-96.7659,5634307
Austin,Texas,Travis,30.3038,-97.7545,1633847
Houston,Texas,Harris,29.7871,-95.3936,5424720
San Antonio,Texas,Bexar,29.4722,-98.5247,1976787
New Orleans,Louisiana,Orleans,30.0687,-89.9288,1024421
Charlotte,North Carolina,Mecklenburg,35.208,-80.8308,1438351
Raleigh,North Carolina,Wake,35.8323,-78.6441,1005457
Omaha,Nebraska,Douglas,41.2634,-96.0453,792463
Memphis,Tennessee,Shelby,35.1047,-89.9773,1069661
Nashville,Tennessee,Davidson,36.1714,-86.7844,1065078
Buffalo,New York,Erie,42.9016,-78.8487,920136
Queens,New York,Queens,40.7498,-73.7976,2333054
New York,New York,New York,40.6943,-73.9249,19164071
Bronx,New York,Bronx,40.8501,-73.8662,1455720
Brooklyn,New York,Kings,40.6501,-73.9496,2629150
Manhattan,New York,New York,40.7834,-73.9662,1643734
Philadelphia,Pennsylvania,Philadelphia,40.0076,-75.134,5591554
Pittsburgh,Pennsylvania,Allegheny,40.4396,-79.9763,1722206
Sacramento,California,Sacramento,38.5666,-121.4683,1830061
Riverside,California,Riverside,33.9382,-117.3949,2065627
San Francisco,California,San Francisco,37.7561,-122.4429,3548847
San Diego,California,San Diego,32.8312,-117.1225,3181172
San Jose,California,Santa Clara,37.302,-121.8488,1804359
Los Angeles,California,Los Angeles,34.114,-118.4068,12740381
Las Vegas,Nevada,Clark,36.2288,-115.2603,2044731
Denver,Colorado,Denver,39.7621,-104.8759,2741534
Chicago,Illinois,Cook,41.8373,-87.6861,8639278
Atlanta,Georgia,Fulton,33.7627,-84.4231,5080712
Indianapolis,Indiana,Marion,39.7771,-86.1458,1550488
Oklahoma City,Oklahoma,Oklahoma,35.4677,-97.5138,948154
Phoenix,Arizona,Maricopa,33.5722,-112.0891,4054083
Tucson,Arizona,Pima,32.1558,-110.8777,860333
Bridgeport,Connecticut,Fairfield,41.1909,-73.1958,934289
Hartford,Connecticut,Hartford,41.7661,-72.6834,913587
Baltimore,Maryland,Baltimore (city),39.3051,-76.6144,2181206
Boston,Massachusetts,Suffolk,42.3189,-71.0838,4556916
Cleveland,Ohio,Cuyahoga,41.4766,-81.6805,1731637
Columbus,Ohio,Franklin,39.9859,-82.9852,1495146
Cincinnati,Ohio,Hamilton,39.1412,-84.506,1634573
Salt Lake City,Utah,Salt Lake,40.7774,-111.9301,1061156
Saint Louis,Missouri,St. Louis (city),38.6358,-90.2451,2096990
Kansas City,Missouri,Jackson,39.1239,-94.5541,1590762
Minneapolis,Minnesota,Hennepin,44.9635,-93.2679,2866604
Detroit,Michigan,Wayne,42.3834,-83.1024,3520589
Providence,Rhode Island,Providence,41.8229,-71.4186,1198789
Louisville,Kentucky,Jefferson,38.1662,-85.6488,1003412
Portland,Oregon,Multnomah,45.5372,-122.65,2027629